Posição;Código IBGE;Município;Unidade federativa;População
563º;1503804;Jacundá; Pará;59 842
564º;1507607;São Miguel do Guamá; Pará;59 632
565º;1304203;Tefé; Amazonas;59 547
566º;2914000;Ipirá; Bahia;59 435
567º;2112506;Tutóia; Maranhão;59 398
568º;3300803;Cachoeiras de Macacu; Rio de Janeiro;59 303
569º;5007901;Sidrolândia; Mato Grosso do Sul;59 245
570º;2506301;Guarabira; Paraíba;59 115
571º;2313302;Tauá; Ceará;59 062
572º;1503903;Juruti; Pará;58 960
573º;2602803;Buíque; Pernambuco;58 919
574º;4314050;Parobé; Rio Grande do Sul;58 858
575º;3524709;Jaguariúna; São Paulo;58 722
576º;2400208;Assu; Rio Grande do Norte;58 384
577º;1504802;Monte Alegre; Pará;58 162
578º;3546801;Santa Isabel; São Paulo;57 966
579º;4128203;União da Vitória; Paraná;57 913
580º;3531100;Mongaguá; São Paulo;57 648
581º;4321204;Taquara; Rio Grande do Sul;57 584
582º;2701407;Campo Alegre; Alagoas;57 537
583º;3553708;Taquaritinga; São Paulo;57 364
584º;2702306;Coruripe; Alagoas;57 294
585º;4207007;Içara; Santa Catarina;57 247
586º;3502101;Andradina; São Paulo;57 202
587º;2112704;Vargem Grande; Maranhão;57 168
588º;1500404;Alenquer; Pará;57 092
589º;3169406;Três Pontas; Minas Gerais;56 940
590º;2610608;Paudalho; Pernambuco;56 933
591º;3151206;Pirapora; Minas Gerais;56 640
592º;1302702;Manicoré; Amazonas;56 583
593º;4210100;Mafra; Santa Catarina;56 561
594º;3540705;Porto Ferreira; São Paulo;56 504
595º;3161106;São Francisco; Minas Gerais;56 477
596º;3542602;Registro; São Paulo;56 393
597º;3510401;Capivari; São Paulo;56 379
598º;2313500;Trairi; Ceará;56 291
599º;4304507;Canguçu; Rio Grande do Sul;56 211
600º;2608909;Limoeiro; Pernambuco;56 198
601º;1301704;Humaitá; Amazonas;56 144
602º;5005707;Naviraí; Mato Grosso do Sul;55 689
603º;1500206;Acará; Pará;55 669
604º;3537800;Piedade; São Paulo;55 542
605º;1100288;Rolim de Moura; Rondônia;55 407
606º;3503802;Artur Nogueira; São Paulo;55 340
607º;3118007;Congonhas; Minas Gerais;55 309
608º;5006200;Nova Andradina; Mato Grosso do Sul;55 224
609º;4109807;Ibiporã; Paraná;55 131
610º;3533908;Olímpia; São Paulo;55 130
611º;3549706;São José do Rio Pardo; São Paulo;55 124
612º;2907509;Catu; Bahia;54 970
613º;2304707;Granja; Ceará;54 962
614º;2917607;Jaguaquara; Bahia;54 673
615º;2902104;Araci; Bahia;54 648
616º;2302404;Boa Viagem; Ceará;54 577
617º;2300309;Acopiara; Ceará;54 481
618º;4203808;Canoinhas; Santa Catarina;54 480
619º;1502301;Capitão Poço; Pará;54 425
620º;2304285;Eusébio; Ceará;54 337
621º;3111200;Campo Belo; Minas Gerais;54 186
622º;1508209;Vigia; Pará;54 172
623º;4304630;Capão da Canoa; Rio Grande do Sul;54 051
624º;2926608;Ribeira do Pombal; Bahia;53 956
625º;2302206;Beberibe; Ceará;53 949
626º;2902708;Barra; Bahia;53 910
627º;4216206;São Francisco do Sul; Santa Catarina;53 746
628º;4219309;Videira; Santa Catarina;53 610
629º;4114609;Marechal Cândido Rondon; Paraná;53 495
630º;3556453;Vargem Grande Paulista; São Paulo;53 468
631º;3540606;Porto Feliz; São Paulo;53 402
632º;1503705;Itupiranga; Pará;53 355
633º;1718204;Porto Nacional; Tocantins;53 316
634º;2928802;Santo Estêvão; Bahia;53 269
635º;5210000;Inhumas; Goiás;53 259
636º;2306306;Itapajé; Ceará;53 067
637º;2515302;Sapé; Paraíba;52 804
638º;1506187;Rondon do Pará; Pará;52 803
639º;2615300;Timbaúba; Pernambuco;52 802
640º;3137205;Lagoa da Prata; Minas Gerais;52 711
641º;3303609;Paracambi; Rio de Janeiro;52 683
642º;2112803;Viana; Maranhão;52 649
643º;3138401;Leopoldina; Minas Gerais;52 640
644º;4321600;Tramandaí; Rio Grande do Sul;52 632
645º;2807402;Tobias Barreto; Sergipe;52 530
646º;4120606;Prudentópolis; Paraná;52 513
647º;3131901;Itabirito; Minas Gerais;52 446
648º;3509700;Campos do Jordão; São Paulo;52 405
649º;2704708;Marechal Deodoro; Alagoas;52 380
650º;3549409;São Joaquim da Barra; São Paulo;52 319
651º;1505106;Óbidos; Pará;52 306
652º;2702405;Delmiro Gouveia; Alagoas;52 262
653º;3128709;Guaxupé; Minas Gerais;52 078
654º;5100250;Alta Floresta; Mato Grosso;51 959
655º;2114007;Zé Doca; Maranhão;51 956
656º;1716109;Paraíso do Tocantins; Tocantins;51 891
657º;4117602;Palmas; Paraná;51 755
658º;4219507;Xanxerê; Santa Catarina;51 642
659º;1100114;Jaru; Rondônia;51 620
660º;1506195;Rurópolis; Pará;51 500
661º;3544103;Rio Grande da Serra; São Paulo;51 436
662º;1600279;Laranjal do Jari; Amapá;51 362
663º;5211800;Jaraguá; Goiás;51 338
664º;2602605;Brejo da Madre de Deus; Pernambuco;51 225
665º;2905206;Caetité; Bahia;51 081
666º;3107406;Bom Despacho; Minas Gerais;51 028
667º;3540200;Pontal; São Paulo;50 852
668º;2931905;Tucano; Bahia;50 798
669º;3531308;Monte Alto; São Paulo;50 772
670º;5218508;Quirinópolis; Goiás;50 701
671º;4307609;Estância Velha; Rio Grande do Sul;50 672
672º;3523206;Itararé; São Paulo;50 642
673º;2105708;Lago da Pedra; Maranhão;50 616
674º;3203908;Nova Venécia; Espírito Santo;50 434
675º;3508405;Cabreúva; São Paulo;50 429
676º;3107307;Bocaiuva; Minas Gerais;50 256
677º;2919801;Macaúbas; Bahia;50 161
678º;3527306;Louveira; São Paulo;49 993
679º;2302503;Brejo Santo; Ceará;49 842
680º;3511508;Cerquilho; São Paulo;49 802
681º;2103406;Coelho Neto; Maranhão;49 621
682º;4317400;Santiago; Rio Grande do Sul;49 360
683º;2921500;Monte Santo; Bahia;49 278
684º;3524808;Jales; São Paulo;49 201
685º;1301852;Iranduba; Amazonas;49 011
686º;2312403;São Gonçalo do Amarante; Ceará;48 869
687º;2602100;Bom Conselho; Pernambuco;48 767
688º;3537107;Pedreira; São Paulo;48 463
689º;1501204;Baião; Pará;48 459
690º;1505486;Pacajá; Pará;48 414
691º;4113205;Lapa; Paraná;48 410
692º;2308104;Mauriti; Ceará;48 168
693º;2312304;São Benedito; Ceará;48 131
694º;2109106;Presidente Dutra; Maranhão;48 036
695º;5001102;Aquidauana; Mato Grosso do Sul;48 029
696º;5005400;Maracaju; Mato Grosso do Sul;48 022
697º;1502707;Conceição do Araguaia; Pará;47 991
698º;3546405;Santa Cruz do Rio Pardo; São Paulo;47 943
699º;3143104;Monte Carmelo; Minas Gerais;47 931
700º;4106407;Cornélio Procópio; Paraná;47 842
701º;3121605;Diamantina; Minas Gerais;47 825
702º;2708006;Santana do Ipanema; Alagoas;47 819
703º;3136306;João Pinheiro; Minas Gerais;47 726
704º;3554805;Tremembé; São Paulo;47 714
705º;2611804;Ribeirão; Pernambuco;47 616
706º;3528403;Mairinque; São Paulo;47 441
707º;2700409;Atalaia; Alagoas;47 365
708º;2201200;Barras; Piauí;47 185
709º;2921005;Mata de São João; Bahia;47 126
710º;3510203;Capão Bonito; São Paulo;47 118
711º;3536703;Pederneiras; São Paulo;47 111
712º;3514403;Dracena; São Paulo;47 043
713º;2202208;Campo Maior; Piauí;46 893
714º;1302405;Lábrea; Amazonas;46 882
715º;2925105;Poções; Bahia;46 879
716º;5106224;Nova Mutum; Mato Grosso;46 813
717º;2100907;Araioses; Maranhão;46 771
718º;5214606;Niquelândia; Goiás;46 730
719º;4125605;São Mateus do Sul; Paraná;46 705
720º;4115804;Medianeira; Paraná;46 574
721º;1100106;Guajará-Mirim; Rondônia;46 556
722º;5213806;Morrinhos; Goiás;46 548
723º;2933604;Xique-Xique; Bahia;46 523
724º;1200500;Sena Madureira; Acre;46 511
725º;1500909;Augusto Corrêa; Pará;46 471
726º;3160702;Santos Dumont; Minas Gerais;46 421
727º;4313508;Osório; Rio Grande do Sul;46 414
728º;2614204;Sirinhaém; Pernambuco;46 361
729º;1303809;São Gabriel da Cachoeira; Amazonas;46 303
730º;4124103;Santo Antônio da Platina; Paraná;46 251
731º;3163706;São Lourenço; Minas Gerais;46 202
732º;2615409;Toritama; Pernambuco;46 164
733º;4209409;Laguna; Santa Catarina;46 122
734º;2919504;Livramento de Nossa Senhora; Bahia;46 062
735º;3535507;Paraguaçu Paulista; São Paulo;45 945
736º;2913903;Ipiaú; Bahia;45 922
737º;3545308;Salto de Pirapora; São Paulo;45 860
738º;4206504;Guaramirim; Santa Catarina;45 797
739º;5106752;Pontes e Lacerda; Mato Grosso;45 774
740º;5102678;Campo Verde; Mato Grosso;45 740
741º;3551504;Serrana; São Paulo;45 644
742º;5218003;Porangatu; Goiás;45 633
743º;2110500;São Bento; Maranhão;45 604
744º;4304408;Canela; Rio Grande do Sul;45 488
745º;1508159;Uruará; Pará;45 435
746º;5208806;Goianira; Goiás;45 296
747º;4207304;Imbituba; Santa Catarina;45 286
748º;3302601;Mangaratiba; Rio de Janeiro;45 220
749º;2508901;Mamanguape; Paraíba;45 136
750º;1508407;Xinguara; Pará;45 086
751º;3110004;Caeté; Minas Gerais;45 047
752º;3301306;Casimiro de Abreu; Rio de Janeiro;45 041
753º;3200904;Barra de São Francisco; Espírito Santo;44 979
754º;4218202;Timbó; Santa Catarina;44 977
755º;3525102;Jardinópolis; São Paulo;44 970
756º;2403103;Currais Novos; Rio Grande do Norte;44 905
757º;4311809;Marau; Rio Grande do Sul;44 858
758º;2920601;Maragogipe; Bahia;44 793
759º;2211100;União; Piauí;44 569
760º;3303708;Paraíba do Sul; Rio de Janeiro;44 518
761º;3515186;Espírito Santo do Pinhal; São Paulo;44 471
762º;2929503;São Sebastião do Passé; Bahia;44 430
763º;3516705;Garça; São Paulo;44 409
764º;3541307;Presidente Epitácio; São Paulo;44 389
765º;2709152;Teotônio Vilela; Alagoas;44 372
766º;3534302;Orlândia; São Paulo;44 360
767º;2412203;São José de Mipibu; Rio Grande do Norte;44 236
768º;2929909;Seabra; Bahia;44 234
769º;2512507;Queimadas; Paraíba;44 179
770º;4313904;Panambi; Rio Grande do Sul;44 128
771º;1300607;Benjamin Constant; Amazonas;43 935
772º;2308500;Mombaça; Ceará;43 858
773º;2300754;Amontada; Ceará;43 829
774º;3130101;Igarapé; Minas Gerais;43 817
775º;2923001;Nova Viçosa; Bahia;43 783
776º;3159605;Santa Rita do Sapucaí; Minas Gerais;43 753
777º;2933208;Vera Cruz; Bahia;43 716
778º;2312205;Santa Quitéria; Ceará;43 711
779º;2600500;Águas Belas; Pernambuco;43 686
780º;4104006;Campina Grande do Sul; Paraná;43 685
781º;3303807;Paraty; Rio de Janeiro;43 680
782º;5210406;Itaberaí; Goiás;43 622
783º;4318804;São Lourenço do Sul; Rio Grande do Sul;43 540
784º;2604205;Catende; Pernambuco;43 340
785º;3522703;Itápolis; São Paulo;43 331
786º;2310506;Pedra Branca; Ceará;43 309
787º;4317608;Santo Antônio da Patrulha; Rio Grande do Sul;43 171
788º;1200609;Tarauacá; Acre;43 151
789º;3556404;Vargem Grande do Sul; São Paulo;43 110
790º;2109601;Rosário; Maranhão;42 994
791º;3172004;Visconde do Rio Branco; Minas Gerais;42 965
792º;2601409;Barreiros; Pernambuco;42 764
793º;3304706;Santo Antônio de Pádua; Rio de Janeiro;42 594
794º;2104057;Estreito; Maranhão;42 527
795º;3554508;Tietê; São Paulo;42 517
796º;4215000;Rio Negrinho; Santa Catarina;42 495
797º;2109809;Santa Helena; Maranhão;42 483
798º;3139003;Machado; Minas Gerais;42 413
799º;5006309;Paranaíba; Mato Grosso do Sul;42 276
800º;2922003;Mucuri; Bahia;42 251
801º;2306553;Itarema; Ceará;42 215
802º;3304755;São Francisco de Itabapoana; Rio de Janeiro;42 210
803º;2803005;Itabaianinha; Sergipe;42 166
804º;3101706;Almenara; Minas Gerais;42 143
805º;2612604;Santa Maria da Boa Vista; Pernambuco;42 100
806º;2305803;Ipu; Ceará;42 058
807º;3524105;Ituverava; São Paulo;42 045
808º;2112308;Tuntum; Maranhão;42 040
809º;4306767;Eldorado do Sul; Rio Grande do Sul;41 902
810º;2910503;Entre Rios; Bahia;41 901
811º;3145604;Oliveira; Minas Gerais;41 840
812º;2102002;Bom Jardim; Maranhão;41 822
813º;1505908;Porto de Moz; Pará;41 801
814º;4117503;Paiçandu; Paraná;41 773
815º;1300805;Borba; Amazonas;41 748
816º;2100600;Amarante do Maranhão; Maranhão;41 729
817º;3157005;Salinas; Minas Gerais;41 699
818º;2111508;São Mateus do Maranhão; Maranhão;41 579
819º;3533502;Novo Horizonte; São Paulo;41 414
820º;3102605;Andradas; Minas Gerais;41 396
821º;3552106;Socorro; São Paulo;41 352
822º;2103505;Colinas; Maranhão;41 312
823º;4305355;Charqueadas; Rio Grande do Sul;41 258
824º;2702900;Girau do Ponciano; Alagoas;41 237
825º;2926004;Remanso; Bahia;41 170
826º;3550100;São Manuel; São Paulo;41 123
827º;5105150;Juína; Mato Grosso;41 101
828º;1503093;Goianésia do Pará; Pará;41 081
829º;3517406;Guaíra; São Paulo;41 040
830º;4107207;Dois Vizinhos; Paraná;41 038
831º;3501707;Américo Brasiliense; São Paulo;41 032
832º;3204559;Santa Maria de Jetibá; Espírito Santo;41 015
833º;2930204;Sento Sé; Bahia;40 989
834º;2927002;Rio Real; Bahia;40 976
835º;1506203;Salinópolis; Pará;40 922
836º;1504901;Muaná; Pará;40 906
837º;2314003;Várzea Alegre; Ceará;40 903
838º;4217204;São Miguel do Oeste; Santa Catarina;40 868
839º;1100130;Machadinho d'Oeste; Rondônia;40 867
840º;5221601;Uruaçu; Goiás;40 840
841º;3541604;Promissão; São Paulo;40 828
842º;2305001;Guaraciaba do Norte; Ceará;40 784
843º;3109006;Brumadinho; Minas Gerais;40 666
844º;3144300;Nanuque; Minas Gerais;40 665
845º;2918100;Jeremoabo; Bahia;40 651
846º;2807105;Simão Dias; Sergipe;40 606
847º;2200400;Altos; Piauí;40 605
848º;2608800;Lajedo; Pernambuco;40 589
849º;1502905;Curuçá; Pará;40 584
850º;3518602;Guariba; São Paulo;40 487
851º;3104205;Arcos; Minas Gerais;40 380
852º;1100452;Buritis; Rondônia;40 356
853º;2913705;Inhambupe; Bahia;40 333
854º;1300300;Autazes; Amazonas;40 290
855º;2929206;São Francisco do Conde; Bahia;40 245
856º;3107109;Boa Esperança; Minas Gerais;40 219
857º;1508084;Tucumã; Pará;40 136
858º;3539509;Pitangueiras; São Paulo;40 080
859º;1303908;São Paulo de Olivença; Amazonas;40 073
860º;2411205;Santa Cruz; Rio Grande do Norte;39 988
861º;2602209;Bom Jardim; Pernambuco;39 983
862º;2925204;Pojuca; Bahia;39 972
863º;4204806;Curitibanos; Santa Catarina;39 893
864º;3145901;Ouro Branco; Minas Gerais;39 867
865º;5103254;Colniza; Mato Grosso;39 861
866º;2203701;Esperantina; Piauí;39 848
867º;5000609;Amambai; Mato Grosso do Sul;39 826
868º;3170800;Várzea da Palma; Minas Gerais;39 803
869º;2928109;Santa Maria da Vitória; Bahia;39 775
870º;3134400;Iturama; Minas Gerais;39 690
871º;3541505;Presidente Venceslau; São Paulo;39 583
872º;1500305;Afuá; Pará;39 567
873º;4201307;Araquari; Santa Catarina;39 524
874º;3135050;Jaíba; Minas Gerais;39 388
875º;2205508;José de Freitas; Piauí;39 336
876º;4111803;Jacarezinho; Paraná;39 322
877º;4316402;Rosário do Sul; Rio Grande do Sul;39 314
878º;2108207;Pedreiras; Maranhão;39 191
879º;4218004;Tijucas; Santa Catarina;39 155
880º;4321501;Torres; Rio Grande do Sul;39 064
881º;2308005;Massapê; Ceará;39 044
882º;1503200;Igarapé-Açu; Pará;39 023
883º;3203320;Marataízes; Espírito Santo;38 883
884º;5219308;Santa Helena de Goiás; Goiás;38 808
885º;2207900;Pedro II; Piauí;38 778
886º;2108306;Penalva; Maranhão;38 731
887º;3304805;São Fidélis; Rio de Janeiro;38 710
888º;4216305;São João Batista; Santa Catarina;38 583
889º;3204708;São Gabriel da Palha; Espírito Santo;38 522
890º;2600708;Aliança; Pernambuco;38 397
891º;2602001;Bodocó; Pernambuco;38 378
892º;1301100;Careiro; Amazonas;38 348
893º;4306601;Dom Pedrito; Rio Grande do Sul;38 339
894º;2306256;Itaitinga; Ceará;38 325
895º;2110203;Santa Rita; Maranhão;38 298
896º;4315701;Rio Pardo; Rio Grande do Sul;38 265
897º;5007208;Rio Brilhante; Mato Grosso do Sul;38 186
898º;3141108;Matozinhos; Minas Gerais;38 151
899º;2602308;Bonito; Pernambuco;38 117
900º;2305902;Ipueiras; Ceará;38 114
901º;1502152;Canaã dos Carajás; Pará;38 103
902º;3112307;Capelinha; Minas Gerais;38 057
903º;1303106;Nova Olinda do Norte; Amazonas;38 026
904º;3521002;Iperó; São Paulo;37 964
905º;2929305;São Gonçalo dos Campos; Bahia;37 942
906º;2310704;Pentecoste; Ceará;37 900
907º;3152204;Porteirinha; Minas Gerais;37 864
908º;3201407;Castelo; Espírito Santo;37 747
909º;2910602;Esplanada; Bahia;37 578
910º;4314803;Portão; Rio Grande do Sul;37 561
911º;2928000;Santaluz; Bahia;37 531
912º;4109609;Guaratuba; Paraná;37 527
913º;4310603;Itaqui; Rio Grande do Sul;37 489
914º;2408300;Nova Cruz; Rio Grande do Norte;37 450
915º;2901007;Amargosa; Bahia;37 441
916º;5218300;Posse; Goiás;37 414
917º;2600104;Afogados da Ingazeira; Pernambuco;37 404
918º;3500709;Agudos; São Paulo;37 401
919º;2605103;Custódia; Pernambuco;37 375
920º;2613107;São Caetano; Pernambuco;37 368
921º;3525706;José Bonifácio; São Paulo;37 366
922º;4310108;Igrejinha; Rio Grande do Sul;37 340
923º;2804508;Nossa Senhora da Glória; Sergipe;37 324
924º;3300605;Bom Jesus do Itabapoana; Rio de Janeiro;37 203
925º;1303536;Presidente Figueiredo; Amazonas;37 193
926º;2207009;Oeiras; Piauí;37 085
927º;3306206;Vassouras; Rio de Janeiro;37 083
928º;2600401;Água Preta; Pernambuco;37 082
929º;3125101;Extrema; Minas Gerais;36 951
930º;2611002;Petrolândia; Pernambuco;36 901
931º;1100189;Pimenta Bueno; Rondônia;36 881
932º;3103405;Araçuaí; Minas Gerais;36 712
933º;2102101;Brejo; Maranhão;36 651
934º;3500303;Aguaí; São Paulo;36 648
935º;4205506;Fraiburgo; Santa Catarina;36 584
936º;4203600;Campos Novos; Santa Catarina;36 556
937º;4309100;Gramado; Rio Grande do Sul;36 555
938º;2607653;Itambé; Pernambuco;36 471
